key,emo,version,name,status,uni,codepoints
man_vampire_medium_dark_skin_tone,🧛🏾‍♂,E5.0,man vampire: medium-dark skin tone,minimally-qualified,1f9db_1f3fe_200d_2642,1F9DB 1F3FE 200D 2642
man_vampire_dark_skin_tone,🧛🏿‍♂,E5.0,man vampire: dark skin tone,minimally-qualified,1f9db_1f3ff_200d_2642,1F9DB 1F3FF 200D 2642
woman_vampire,🧛‍♀,E5.0,woman vampire,minimally-qualified,1f9db_200d_2640,1F9DB 200D 2640
woman_vampire_light_skin_tone,🧛🏻‍♀,E5.0,woman vampire: light skin tone,minimally-qualified,1f9db_1f3fb_200d_2640,1F9DB 1F3FB 200D 2640
woman_vampire_medium_light_skin_tone,🧛🏼‍♀,E5.0,woman vampire: medium-light skin tone,minimally-qualified,1f9db_1f3fc_200d_2640,1F9DB 1F3FC 200D 2640
woman_vampire_medium_skin_tone,🧛🏽‍♀,E5.0,woman vampire: medium skin tone,minimally-qualified,1f9db_1f3fd_200d_2640,1F9DB 1F3FD 200D 2640
woman_vampire_medium_dark_skin_tone,🧛🏾‍♀,E5.0,woman vampire: medium-dark skin tone,minimally-qualified,1f9db_1f3fe_200d_2640,1F9DB 1F3FE 200D 2640
woman_vampire_dark_skin_tone,🧛🏿‍♀,E5.0,woman vampire: dark skin tone,minimally-qualified,1f9db_1f3ff_200d_2640,1F9DB 1F3FF 200D 2640
merperson,🧜,E5.0,merperson,fully-qualified,1f9dc,1F9DC
merperson_light_skin_tone,🧜🏻,E5.0,merperson: light skin tone,fully-qualified,1f9dc_1f3fb,1F9DC 1F3FB
merperson_medium_light_skin_tone,🧜🏼,E5.0,merperson: medium-light skin tone,fully-qualified,1f9dc_1f3fc,1F9DC 1F3FC
merperson_medium_skin_tone,🧜🏽,E5.0,merperson: medium skin tone,fully-qualified,1f9dc_1f3fd,1F9DC 1F3FD
merperson_medium_dark_skin_tone,🧜🏾,E5.0,merperson: medium-dark skin tone,fully-qualified,1f9dc_1f3fe,1F9DC 1F3FE
merperson_dark_skin_tone,🧜🏿,E5.0,merperson: dark skin tone,fully-qualified,1f9dc_1f3ff,1F9DC 1F3FF
merman,🧜‍♂,E5.0,merman,minimally-qualified,1f9dc_200d_2642,1F9DC 200D 2642
merman_light_skin_tone,🧜🏻‍♂,E5.0,merman: light skin tone,minimally-qualified,1f9dc_1f3fb_200d_2642,1F9DC 1F3FB 200D 2642
merman_medium_light_skin_tone,🧜🏼‍♂,E5.0,merman: medium-light skin tone,minimally-qualified,1f9dc_1f3fc_200d_2642,1F9DC 1F3FC 200D 2642
